Commodity Code,Commodity Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
111CA,Farms,carbon dioxide,"kg/2018 USD, purchaser price",0.425,0.044,0.47,,4,2,1,4,1
111CA,Farms,methane,"kg/2018 USD, purchaser price",0.023,0,0.023,,3,2,1,1,1
111CA,Farms,nitrous oxide,"kg/2018 USD, purchaser price",0.002,0,0.002,,4,2,1,4,1
111CA,Farms,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,3,2,1,4,1
113FF,"Forestry, fishing, and related activities",carbon dioxide,"kg/2018 USD, purchaser price",0.206,0.024,0.229,,4,2,1,4,1
113FF,"Forestry, fishing, and related activities",methane,"kg/2018 USD, purchaser price",0.003,0,0.004,,3,2,1,1,1
113FF,"Forestry, fishing, and related activities",nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,4,1
113FF,"Forestry, fishing, and related activities",other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0,0.002,,3,2,1,4,1
211,Oil and gas extraction,carbon dioxide,"kg/2018 USD, purchaser price",0.473,0.06,0.532,,3,2,1,3,1
211,Oil and gas extraction,methane,"kg/2018 USD, purchaser price",0.024,0.001,0.025,,4,2,1,1,1
211,Oil and gas extraction,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
211,Oil and gas extraction,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,4,2,1,4,1
212,"Mining, except oil and gas",carbon dioxide,"kg/2018 USD, purchaser price",0.63,0.107,0.737,,4,2,1,4,1
212,"Mining, except oil and gas",methane,"kg/2018 USD, purchaser price",0.022,0.001,0.023,,4,2,1,1,1
212,"Mining, except oil and gas",nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,3,1
212,"Mining, except oil and gas",other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0,0.005,,4,2,1,4,1
213,Support activities for mining,carbon dioxide,"kg/2018 USD, purchaser price",0.349,0,0.349,,3,2,1,4,1
213,Support activities for mining,methane,"kg/2018 USD, purchaser price",0.009,0,0.009,,4,2,1,1,1
213,Support activities for mining,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,3,1
213,Support activities for mining,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,4,2,1,4,1
22,Utilities,carbon dioxide,"kg/2018 USD, purchaser price",2.914,0,2.914,,2,2,1,2,1
22,Utilities,methane,"kg/2018 USD, purchaser price",0.006,0,0.006,,4,2,1,1,1
22,Utilities,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,2,1
22,Utilities,other GHGs,"kg CO2e/2018 USD, purchaser price",0.01,0,0.01,,2,2,1,2,1
23,Construction,carbon dioxide,"kg/2018 USD, purchaser price",0.272,0,0.272,,3,2,1,4,1
23,Construction,methane,"kg/2018 USD, purchaser price",0.002,0,0.002,,4,2,1,1,1
23,Construction,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,3,1
23,Construction,other GHGs,"kg CO2e/2018 USD, purchaser price",0.02,0,0.02,,4,2,1,5,1
311FT,Food and beverage and tobacco products,carbon dioxide,"kg/2018 USD, purchaser price",0.316,0.02,0.337,,3,2,1,4,1
311FT,Food and beverage and tobacco products,methane,"kg/2018 USD, purchaser price",0.007,0,0.008,,3,2,1,1,1
311FT,Food and beverage and tobacco products,nitrous oxide,"kg/2018 USD, purchaser price",0.001,0,0.001,,4,2,1,4,1
311FT,Food and beverage and tobacco products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.007,0,0.007,,4,2,1,4,1
313TT,Textile mills and textile product mills,carbon dioxide,"kg/2018 USD, purchaser price",0.288,0.052,0.341,,3,2,1,4,1
313TT,Textile mills and textile product mills,methane,"kg/2018 USD, purchaser price",0.001,0,0.002,,3,2,1,1,1
313TT,Textile mills and textile product mills,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,3,1
313TT,Textile mills and textile product mills,other GHGs,"kg CO2e/2018 USD, purchaser price",0.006,0,0.006,,3,2,1,3,1
315AL,Apparel and leather and allied products,carbon dioxide,"kg/2018 USD, purchaser price",0.082,0.321,0.403,,3,2,1,3,1
315AL,Apparel and leather and allied products,methane,"kg/2018 USD, purchaser price",0.001,0.002,0.003,,3,2,1,1,1
315AL,Apparel and leather and allied products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,4,1
315AL,Apparel and leather and allied products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0,0.003,,3,2,1,4,1
321,Wood products,carbon dioxide,"kg/2018 USD, purchaser price",0.205,0.029,0.233,,3,2,1,3,1
321,Wood products,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,1,1
321,Wood products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,3,1
321,Wood products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.01,0,0.01,,4,2,1,4,1
322,Paper products,carbon dioxide,"kg/2018 USD, purchaser price",0.355,0.021,0.377,,3,2,1,4,1
322,Paper products,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,4,2,1,1,1
322,Paper products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
322,Paper products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0,0.005,,3,2,1,4,1
323,Printing and related support activities,carbon dioxide,"kg/2018 USD, purchaser price",0.221,0.02,0.241,,3,2,1,4,1
323,Printing and related support activities,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,4,2,1,1,1
323,Printing and related support activities,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
323,Printing and related support activities,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,3,2,1,3,1
324,Petroleum and coal products,carbon dioxide,"kg/2018 USD, purchaser price",0.652,0.018,0.67,,3,2,1,3,1
324,Petroleum and coal products,methane,"kg/2018 USD, purchaser price",0.015,0,0.016,,4,2,1,1,1
324,Petroleum and coal products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
324,Petroleum and coal products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,4,2,1,4,1
325,Chemical products,carbon dioxide,"kg/2018 USD, purchaser price",0.301,0.013,0.314,,4,2,1,4,1
325,Chemical products,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,4,2,1,1,1
325,Chemical products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,2,1
325,Chemical products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.012,0,0.012,,2,2,1,2,1
326,Plastics and rubber products,carbon dioxide,"kg/2018 USD, purchaser price",0.175,0.009,0.184,,3,2,1,3,1
326,Plastics and rubber products,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,4,2,1,1,1
326,Plastics and rubber products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,2,1
326,Plastics and rubber products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.011,0,0.011,,3,2,1,4,1
327,Nonmetallic mineral products,carbon dioxide,"kg/2018 USD, purchaser price",0.527,0.039,0.566,,3,2,1,3,1
327,Nonmetallic mineral products,methane,"kg/2018 USD, purchaser price",0.001,0,0.002,,4,2,1,1,1
327,Nonmetallic mineral products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
327,Nonmetallic mineral products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,3,2,1,4,1
331,Primary metals,carbon dioxide,"kg/2018 USD, purchaser price",0.061,0.002,0.063,,2,2,1,2,1
331,Primary metals,methane,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,1,1
331,Primary metals,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
331,Primary metals,other GHGs,"kg CO2e/2018 USD, purchaser price",0.024,0,0.024,,3,2,1,2,1
332,Fabricated metal products,carbon dioxide,"kg/2018 USD, purchaser price",0.247,0.015,0.261,,3,2,1,3,1
332,Fabricated metal products,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,4,2,1,1,1
332,Fabricated metal products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
332,Fabricated metal products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.009,0,0.009,,3,2,1,3,1
333,Machinery,carbon dioxide,"kg/2018 USD, purchaser price",0.181,0.019,0.2,,3,2,1,3,1
333,Machinery,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,4,2,1,1,1
333,Machinery,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
333,Machinery,other GHGs,"kg CO2e/2018 USD, purchaser price",0.039,0,0.039,,4,2,1,5,1
334,Computer and electronic products,carbon dioxide,"kg/2018 USD, purchaser price",0.053,0.022,0.075,,3,2,1,3,1
334,Computer and electronic products,methane,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,1,1
334,Computer and electronic products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,2,1
334,Computer and electronic products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.016,0,0.016,,2,2,1,1,1
335,"Electrical equipment, appliances, and components",carbon dioxide,"kg/2018 USD, purchaser price",0.193,0.034,0.227,,3,2,1,3,1
335,"Electrical equipment, appliances, and components",methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,4,2,1,1,1
335,"Electrical equipment, appliances, and components",nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
335,"Electrical equipment, appliances, and components",other GHGs,"kg CO2e/2018 USD, purchaser price",0.01,0,0.01,,3,2,1,3,1
3361MV,"Motor vehicles, bodies and trailers, and parts",carbon dioxide,"kg/2018 USD, purchaser price",0.187,0.015,0.202,,3,2,1,3,1
3361MV,"Motor vehicles, bodies and trailers, and parts",methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,4,2,1,1,1
3361MV,"Motor vehicles, bodies and trailers, and parts",nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
3361MV,"Motor vehicles, bodies and trailers, and parts",other GHGs,"kg CO2e/2018 USD, purchaser price",0.019,0,0.019,,4,2,1,4,1
